"VEHICLE: CARGO VAN, SPRINTER, CUBE VAN, STRAIGHT TRUCK, TRACTOR",DISTANCE: Miles,"PICKUP STATE: eg - TX, MI","DESTINATION STATE: eg - WI, IL","PICKUP CITY: eg - LAREDO, DALLAS","DESTINATION CITY: eg - HOPKINSVILLE, DALLAS",PICKUP DATE: dd-mm-yyyy,DELIVERY DATE: dd-mm-yyyy,Enter Your Bid Price
SPRINTER,1357,IL,TX,ELGIN,LAREDO,11-02-2021,12-02-2021,0
SPRINTER,1532,MI,TX,JONESVILLE,LAREDO,11-02-2021,13-02-2021,0
TRACTOR,1092,TX,TN,LAREDO,SPRING HILL,11-02-2021,12-02-2021,0
TRACTOR,2203,GJ,MI,CENTRO,REDFORD,10-02-2021,14-02-2021,0
SPRINTER,1461,TX,IL,PHARR,CHICAGO,10-02-2021,12-02-2021,0
TRACTOR,2387,TX,TX,PHARR,PHARR,10-02-2021,14-02-2021,0
SPRINTER,320,IL,MI,ELGIN,DETROIT,10-02-2021,11-02-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,10-02-2021,11-02-2021,0
TRACTOR,1928,JA,SC,EL SALTO,DUNCAN,10-02-2021,13-02-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,10-02-2021,11-02-2021,0
CUBE VAN,2256,MI,JA,CADILLAC,EL SALTO,10-02-2021,13-02-2021,0
STRAIGHT TRUCK,1408,TX,OH,LAREDO,DAYTON,10-02-2021,12-02-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,10-02-2021,12-02-2021,0
STRAIGHT TRUCK,1344,IL,TX,SAVANNA,LAREDO,10-02-2021,12-02-2021,0
STRAIGHT TRUCK,1442,WI,TX,MILWAUKEE,LAREDO,10-02-2021,12-02-2021,0
TRACTOR,1363,IN,TX,LAFAYETTE,LAREDO,10-02-2021,12-02-2021,0
CARGO VAN,1754,NX,MI,ALMERÍA,LIVONIA,10-02-2021,13-02-2021,0
STRAIGHT TRUCK,1432,SC,TX,SUMMERVILLE,LAREDO,10-02-2021,12-02-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,10-02-2021,11-02-2021,0
SPRINTER,502,TN,MI,GALLATIN,SALINE,10-02-2021,11-02-2021,0
SPRINTER,2230,JA,MI,EL SALTO,YPSILANTI,10-02-2021,15-02-2021,0
CARGO VAN,1648,MI,TX,HOLLY,LAREDO,10-02-2021,15-02-2021,0
TRACTOR,2300,PU,MI,SAN MARTÍN TEXMELUCAN DE LABASTIDA,DETROIT,10-02-2021,15-02-2021,0
TRACTOR,1687,TX,OH,LAREDO,TOLEDO,10-02-2021,15-02-2021,0
TRACTOR,1797,JA,TN,EL SALTO,CHATTANOOGA,10-02-2021,15-02-2021,0
TRACTOR,2031,NC,MR,MARION,CUAUTLA,10-02-2021,15-02-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,04-02-2021,05-02-2021,0
TRACTOR,744,KY,TX,HENDERSON,DENTON,04-02-2021,05-02-2021,0
TRACTOR,1155,TN,TX,SMITHVILLE,LAREDO,04-02-2021,05-02-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,04-02-2021,05-02-2021,0
TRACTOR,550,TX,JA,LAREDO,LAGOS DE MORENO,04-02-2021,05-02-2021,0
SPRINTER,1117,TN,TX,GALLATIN,LAREDO,04-02-2021,05-02-2021,0
CARGO VAN,430,TX,TX,DALLAS,LAREDO,04-02-2021,05-02-2021,0
SPRINTER,751,MI,MS,WYANDOTTE,BLUE SPRINGS,04-02-2021,05-02-2021,0
CUBE VAN,556,TX,GJ,LAREDO,SILAO,04-02-2021,05-02-2021,0
CARGO VAN,337,IN,MI,COLUMBUS,WARREN,04-02-2021,04-02-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,04-02-2021,04-02-2021,0
STRAIGHT TRUCK,2203,GJ,MI,CENTRO,REDFORD,28-01-2021,31-01-2021,0
SPRINTER,467,TX,TX,LAREDO,SANGER,28-01-2021,29-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,28-01-2021,29-01-2021,0
SPRINTER,1117,TN,TX,GALLATIN,LAREDO,28-01-2021,29-01-2021,0
STRAIGHT TRUCK,1046,TX,AL,LAREDO,PELL CITY,28-01-2021,29-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,28-01-2021,31-01-2021,0
SPRINTER,1442,WI,TX,MILWAUKEE,LAREDO,28-01-2021,30-01-2021,0
SPRINTER,529,TN,MI,GALLATIN,WALKER,28-01-2021,29-01-2021,0
CUBE VAN,1470,TX,WV,LAREDO,BUFFALO,28-01-2021,31-01-2021,0
SPRINTER,519,TN,MI,GALLATIN,DETROIT,28-01-2021,28-01-2021,0
STRAIGHT TRUCK,454,OH,KY,MOGADORE,BOWLING GREEN,28-01-2021,29-01-2021,0
TRACTOR,1499,TX,MI,LAREDO,THREE RIVERS,28-01-2021,29-01-2021,0
TRACTOR,1411,WI,TX,OSCEOLA,LAREDO,28-01-2021,29-01-2021,0
SPRINTER,484,MI,WV,MUSKEGON,BUFFALO,28-01-2021,29-01-2021,0
SPRINTER,186,IN,MI,GRANGER,ALLEN PARK,28-01-2021,29-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,28-01-2021,28-01-2021,0
TRACTOR,1401,IN,TX,PERU,LAREDO,28-01-2021,29-01-2021,0
SPRINTER,537,MI,IL,WAYNE,SPARTA,28-01-2021,28-01-2021,0
SPRINTER,2372,ME,TX,NEW VINEYARD,LAREDO,28-01-2021,31-01-2021,0
STRAIGHT TRUCK,1724,JA,AL,EL SALTO,MADISON,28-01-2021,31-01-2021,0
CUBE VAN,1468,TX,IL,LOS INDIOS,BELVIDERE,28-01-2021,29-01-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,27-01-2021,28-01-2021,0
TRACTOR,1451,MO,SL,CLAYCOMO,SAN LUIS POTOSÍ,27-01-2021,30-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,27-01-2021,31-01-2021,0
STRAIGHT TRUCK,1763,NX,MI,GUADALUPE,DETROIT,27-01-2021,30-01-2021,0
TRACTOR,1955,JA,SC,EL SALTO,GAFFNEY,27-01-2021,30-01-2021,0
TRACTOR,1687,TX,OH,LAREDO,TOLEDO,27-01-2021,30-01-2021,0
CUBE VAN,2193,MI,GJ,AUBURN HILLS,AMPLIACIÓN MONTE DEL COECILLO,27-01-2021,30-01-2021,0
TRACTOR,502,TX,AG,LAREDO,CIUDAD INDUSTRIAL,21-01-2021,23-01-2021,0
STRAIGHT TRUCK,1526,TX,MI,LAREDO,BATTLE CREEK,21-01-2021,25-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,21-01-2021,24-01-2021,0
CUBE VAN,1938,NY,TX,ITHACA,LAREDO,21-01-2021,25-01-2021,0
CARGO VAN,1534,NX,IL,GUADALUPE,CHICAGO,21-01-2021,24-01-2021,0
TRACTOR,1118,TX,TN,LAREDO,SPRINGFIELD,21-01-2021,23-01-2021,0
STRAIGHT TRUCK,1169,TX,IL,LAREDO,FLORA,21-01-2021,25-01-2021,0
CARGO VAN,1475,OH,TX,SAINT MARYS,LAREDO,21-01-2021,25-01-2021,0
STRAIGHT TRUCK,1537,MI,TX,MORENCI,LAREDO,21-01-2021,23-01-2021,0
STRAIGHT TRUCK,2246,EM,OH,CENTRO,FREMONT,21-01-2021,25-01-2021,0
TRACTOR,460,TX,SL,LAREDO,SAN LUIS POTOSÍ,14-01-2021,16-01-2021,0
STRAIGHT TRUCK,1432,SC,TX,SUMMERVILLE,LAREDO,14-01-2021,16-01-2021,0
SPRINTER,1442,WI,TX,MILWAUKEE,LAREDO,14-01-2021,16-01-2021,0
SPRINTER,1618,MI,TX,SOUTH LYON,LAREDO,14-01-2021,16-01-2021,0
CARGO VAN,1117,TN,TX,GALLATIN,LAREDO,14-01-2021,16-01-2021,0
CARGO VAN,1609,OH,TX,TWINSBURG,LAREDO,14-01-2021,16-01-2021,0
CARGO VAN,2174,EM,OH,PARQUE INDUSTRIAL TOLUCA,LIMA,13-01-2021,16-01-2021,0
TRACTOR,1687,TX,OH,LAREDO,TOLEDO,13-01-2021,16-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,13-01-2021,15-01-2021,0
TRACTOR,1819,MI,CU,WIXOM,SALTILLO,12-01-2021,16-01-2021,0
STRAIGHT TRUCK,1898,QA,IL,EL MARQUÉS,JOLIET,11-01-2021,16-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,07-01-2021,08-01-2021,0
CUBE VAN,988,TX,AL,LAREDO,MONTGOMERY,07-01-2021,08-01-2021,0
SPRINTER,1612,MI,TX,LIVONIA,LAREDO,07-01-2021,09-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,07-01-2021,08-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,07-01-2021,10-01-2021,0
SPRINTER,1442,WI,TX,MILWAUKEE,LAREDO,07-01-2021,09-01-2021,0
SPRINTER,541,TN,MI,GREENEVILLE,WAYNE,07-01-2021,08-01-2021,0
STRAIGHT TRUCK,1046,TX,AL,LAREDO,PELL CITY,07-01-2021,09-01-2021,0
CUBE VAN,1363,SC,TX,CLOVER,LAREDO,07-01-2021,09-01-2021,0
CARGO VAN,1321,CU,IL,RAMOS ARIZPE,JOLIET,07-01-2021,11-01-2021,0
STRAIGHT TRUCK,1534,MI,TX,SPRING LAKE,LAREDO,07-01-2021,11-01-2021,0
TRACTOR,363,KY,AL,HOPKINSVILLE,HOPE HULL,07-01-2021,07-01-2021,0
CARGO VAN,1552,MI,TX,ROCKFORD,LAREDO,07-01-2021,11-01-2021,0
STRAIGHT TRUCK,1432,SC,TX,SUMMERVILLE,LAREDO,07-01-2021,08-01-2021,0
STRAIGHT TRUCK,1621,MI,TX,ITHACA,LAREDO,07-01-2021,10-01-2021,0
SPRINTER,1615,TX,ON,LAREDO,WINDSOR,07-01-2021,09-01-2021,0
TRACTOR,1499,TX,MI,LAREDO,THREE RIVERS,07-01-2021,08-01-2021,0
TRACTOR,1411,WI,TX,OSCEOLA,LAREDO,07-01-2021,09-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,07-01-2021,07-01-2021,0
TRACTOR,1383,NC,TX,MORGANTON,LAREDO,07-01-2021,09-01-2021,0
SPRINTER,1358,IL,TX,ELGIN,LAREDO,07-01-2021,08-01-2021,0
STRAIGHT TRUCK,1401,IN,TX,PERU,LAREDO,07-01-2021,08-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,07-01-2021,07-01-2021,0
TRACTOR,407,AL,IL,MUSCLE SHOALS,PARIS,07-01-2021,07-01-2021,0
CARGO VAN,547,OH,AL,FINDLAY,HUNTSVILLE,07-01-2021,07-01-2021,0
STRAIGHT TRUCK,1496,IN,TX,ANGOLA,LAREDO,07-01-2021,08-01-2021,0
TRACTOR,609,PA,TN,ERIE,SPRINGFIELD,07-01-2021,07-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,06-01-2021,07-01-2021,0
CARGO VAN,1086,TX,IL,LAREDO,EDWARDSVILLE,06-01-2021,07-01-2021,0
TRACTOR,550,TX,JA,LAREDO,LAGOS DE MORENO,06-01-2021,07-01-2021,0
CARGO VAN,256,IL,MI,PARK FOREST,WAYNE,06-01-2021,07-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,06-01-2021,08-01-2021,0
SPRINTER,2127,AG,MI,AGUASCALIENTES,FLINT,06-01-2021,11-01-2021,0
TRACTOR,159,TX,NX,LAREDO,GARCÍA,06-01-2021,07-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,06-01-2021,07-01-2021,0
TRACTOR,1589,TN,AG,SPRING HILL,AGUASCALIENTES,06-01-2021,09-01-2021,0
SPRINTER,586,AR,IN,HARRISON,KOKOMO,06-01-2021,07-01-2021,0
TRACTOR,1452,TX,OH,LAREDO,SIDNEY,06-01-2021,08-01-2021,0
CARGO VAN,1948,SL,OH,VILLA DE REYES,BELLEFONTAINE,06-01-2021,11-01-2021,0
TRACTOR,2387,TX,TX,PHARR,PHARR,06-01-2021,09-01-2021,0
TRACTOR,1687,TX,OH,LAREDO,TOLEDO,06-01-2021,09-01-2021,0
CUBE VAN,497,TX,AG,LAREDO,AGUASCALIENTES,06-01-2021,07-01-2021,0
TRACTOR,355,AL,TN,AUBURN,GREENEVILLE,06-01-2021,06-01-2021,0
CUBE VAN,2056,SL,MI,SAN LUIS POTOSÍ,BELLEVILLE,06-01-2021,10-01-2021,0
TRACTOR,1432,SC,TX,SUMMERVILLE,LAREDO,06-01-2021,08-01-2021,0
TRACTOR,1499,TX,MI,LAREDO,THREE RIVERS,06-01-2021,07-01-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,06-01-2021,07-01-2021,0
TRACTOR,673,TN,TN,GALLATIN,GALLATIN,06-01-2021,08-01-2021,0
STRAIGHT TRUCK,1496,IN,TX,ANGOLA,LAREDO,06-01-2021,07-01-2021,0
TRACTOR,2031,NC,MR,MARION,CUAUTLA,06-01-2021,11-01-2021,0
CUBE VAN,594,TX,GJ,LAREDO,LA LUZ,06-01-2021,07-01-2021,0
TRACTOR,1393,SC,TX,SUMTER,LAREDO,06-01-2021,07-01-2021,0
CUBE VAN,2246,QA,MI,COLON,AUBURN HILLS,06-01-2021,09-01-2021,0
SPRINTER,115,AL,MS,JASPER,BLUE SPRINGS,06-01-2021,06-01-2021,0
SPRINTER,448,TN,OH,LEWISBURG,EAST LIBERTY,06-01-2021,06-01-2021,0
SPRINTER,123,CT,MA,MILFORD,ATTLEBORO,06-01-2021,06-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,06-01-2021,06-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,06-01-2021,06-01-2021,0
TRACTOR,379,OH,KY,NORTH BALTIMORE,BOWLING GREEN,06-01-2021,06-01-2021,0
SPRINTER,497,TX,AG,LAREDO,AGUASCALIENTES,05-01-2021,06-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,05-01-2021,06-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,05-01-2021,06-01-2021,0
SPRINTER,559,VA,OH,CHESAPEAKE,BROOK PARK,05-01-2021,06-01-2021,0
TRACTOR,383,TN,GA,CUMBERLAND CITY,COLUMBUS,05-01-2021,06-01-2021,0
TRACTOR,350,KY,GA,BOWLING GREEN,TOCCOA,05-01-2021,06-01-2021,0
STRAIGHT TRUCK,1363,IN,TX,LAFAYETTE,LAREDO,05-01-2021,06-01-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,05-01-2021,06-01-2021,0
SPRINTER,1392,NC,TX,PINEVILLE,LAREDO,05-01-2021,06-01-2021,0
SPRINTER,294,TN,NC,GALLATIN,MILLS RIVER,05-01-2021,06-01-2021,0
SPRINTER,373,TN,WV,ATHENS,BUFFALO,05-01-2021,05-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,05-01-2021,05-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,05-01-2021,05-01-2021,0
TRACTOR,1401,IN,TX,PERU,LAREDO,05-01-2021,06-01-2021,0
TRACTOR,463,KY,MI,MORGANTOWN,DETROIT,05-01-2021,05-01-2021,0
TRACTOR,481,KY,MI,BOWLING GREEN,NOVI,04-01-2021,05-01-2021,0
SPRINTER,1684,TX,MI,LOS INDIOS,LANSING,04-01-2021,06-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,04-01-2021,05-01-2021,0
TRACTOR,569,MO,TN,WENTZVILLE,SURGOINSVILLE,04-01-2021,05-01-2021,0
TRACTOR,195,CU,TX,SALTILLO,LAREDO,04-01-2021,05-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,04-01-2021,05-01-2021,0
SPRINTER,1169,TX,IL,LAREDO,FLORA,04-01-2021,05-01-2021,0
CARGO VAN,1170,IL,TX,FLORA,LAREDO,04-01-2021,06-01-2021,0
STRAIGHT TRUCK,1621,MI,TX,SOUTHFIELD,LAREDO,04-01-2021,06-01-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,04-01-2021,05-01-2021,0
SPRINTER,1061,AL,TX,BLOUNTSVILLE,LAREDO,04-01-2021,05-01-2021,0
TRACTOR,673,TN,TN,GALLATIN,GALLATIN,04-01-2021,06-01-2021,0
STRAIGHT TRUCK,459,TN,OH,SPRINGFIELD,ROSSFORD,04-01-2021,05-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,04-01-2021,05-01-2021,0
CUBE VAN,562,MI,TN,NOVI,SMYRNA,04-01-2021,05-01-2021,0
SPRINTER,534,TN,MI,GALLATIN,FRASER,04-01-2021,04-01-2021,0
STRAIGHT TRUCK,1496,IN,TX,ANGOLA,LAREDO,04-01-2021,05-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,04-01-2021,04-01-2021,0
SPRINTER,524,TN,ON,SPRINGFIELD,WINDSOR,04-01-2021,05-01-2021,0
TRACTOR,1885,TX,OH,LAREDO,TOLEDO,04-01-2021,05-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,04-01-2021,04-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,03-01-2021,06-01-2021,0
TRACTOR,1411,WI,TX,OSCEOLA,LAREDO,03-01-2021,04-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,03-01-2021,04-01-2021,0
TRACTOR,195,CU,TX,SALTILLO,LAREDO,02-01-2021,03-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,02-01-2021,05-01-2021,0
TRACTOR,2387,TX,TX,PHARR,PHARR,02-01-2021,06-01-2021,0
CARGO VAN,513,TN,OH,PULASKI,PAULDING,01-03-2023,01-03-2023,0
SPRINTER,517,KY,MO,LOUISVILLE,CLAYCOMO,01-03-2023,01-03-2023,0
STRAIGHT TRUCK,262,KY,MS,HOPKINSVILLE,MANTACHIE,01-03-2023,01-03-2023,0
SPRINTER,445,KY,MI,CORBIN,WAYNE,28-02-2023,01-03-2023,0
SPRINTER,968,TX,AL,LAREDO,TUSCALOOSA,28-02-2023,01-03-2023,0
SPRINTER,1277,TX,KY,LAREDO,LOUISVILLE,28-02-2023,02-03-2023,0
CARGO VAN,188,TX,TX,HARLINGEN,LAREDO,28-02-2023,01-03-2023,0
CUBE VAN,1113,TN,TX,SMYRNA,LAREDO,27-02-2023,01-03-2023,0
CARGO VAN,1744,TX,MI,EL PASO,STERLING HEIGHTS,27-02-2023,01-03-2023,0
SPRINTER,1533,MI,TX,BATTLE CREEK,LAREDO,28-02-2023,01-03-2023,0
STRAIGHT TRUCK,1543,MI,TX,GRAND RAPIDS,LAREDO,27-02-2023,01-03-2023,0
SPRINTER,1528,TX,UT,LAREDO,OGDEN,27-02-2023,01-03-2023,0
CARGO VAN,1857,SC,GJ,ANDERSON,APASEO EL GRANDE,27-02-2023,01-03-2023,0
CUBE VAN,1160,TX,TN,LAREDO,DECHERD,27-02-2023,28-02-2023,0
SPRINTER,1636,MI,TX,ROYAL OAK,LAREDO,27-02-2023,01-03-2023,0
TRACTOR,1620,MI,TX,REDFORD,LAREDO,28-02-2023,01-03-2023,0
TRACTOR,1620,MI,TX,REDFORD,LAREDO,28-02-2023,01-03-2023,0
TRACTOR,985,TX,AL,LAREDO,VANCE,27-02-2023,28-02-2023,0
STRAIGHT TRUCK,1235,KY,TX,RUSSELL SPRINGS,LAREDO,27-02-2023,01-03-2023,0
TRACTOR,661,KY,MO,LONDON,CLAYCOMO,26-02-2023,27-02-2023,0
STRAIGHT TRUCK,963,TX,AL,LAREDO,TUSCALOOSA,26-02-2023,27-02-2023,0
CARGO VAN,1592,TX,OH,LAREDO,LORAIN,25-02-2023,27-02-2023,0
STRAIGHT TRUCK,1944,SL,OH,SAN LUIS POTOSÍ,LIMA,25-02-2023,01-03-2023,0
TRACTOR,1822,GJ,KY,SILAO,LOUISVILLE,27-02-2023,02-03-2023,0
STRAIGHT TRUCK,1881,TX,ON,EL PASO,CAMBRIDGE,25-02-2023,27-02-2023,0
CARGO VAN,1051,AL,TX,PELL CITY,LAREDO,27-02-2023,01-03-2023,0
TRACTOR,1002,TX,AL,LAREDO,MC CALLA,25-02-2023,27-02-2023,0
TRACTOR,1623,TX,MI,LAREDO,HIGHLAND PARK,25-02-2023,27-02-2023,0
TRACTOR,1311,TX,SC,LAREDO,DUNCAN,25-02-2023,27-02-2023,0
CUBE VAN,1046,TX,AL,LAREDO,PELL CITY,25-02-2023,27-02-2023,0
TRACTOR,1002,TX,AL,LAREDO,MC CALLA,26-02-2023,27-02-2023,0
STRAIGHT TRUCK,1618,TX,MI,LAREDO,HIGHLAND PARK,25-02-2023,27-02-2023,0
CARGO VAN,1748,NX,OH,APODACA CENTRO,SHEFFIELD LAKE,27-02-2023,02-03-2023,0
TRACTOR,1509,TX,OH,LAREDO,MARION,25-02-2023,27-02-2023,0
SPRINTER,1631,TX,OH,PHARR,TOLEDO,25-02-2023,27-02-2023,0
TRACTOR,1186,GA,TX,FLOWERY BRANCH,LAREDO,27-02-2023,28-02-2023,0
SPRINTER,772,TX,TX,PHARR,EL PASO,25-02-2023,27-02-2023,0
SPRINTER,1792,MI,NX,SHELBY TOWNSHIP,GARCIA MIRELES,27-02-2023,01-03-2023,0
CARGO VAN,1603,TX,OH,LAREDO,BROOK PARK,25-02-2023,27-02-2023,0
CUBE VAN,1713,TX,MI,EL PASO,DETROIT,25-02-2023,27-02-2023,0
STRAIGHT TRUCK,219,KY,KY,HOPKINSVILLE,GEORGETOWN,24-02-2023,25-02-2023,0
CARGO VAN,254,TX,TX,AUSTIN,LAREDO,27-02-2023,27-02-2023,0
STRAIGHT TRUCK,1065,TX,GA,LAREDO,WEST POINT,25-02-2023,27-02-2023,0
TRACTOR,1514,GJ,KS,CENTRO,KANSAS CITY,27-02-2023,01-03-2023,0
STRAIGHT TRUCK,2201,GJ,ON,CENTRO,WINDSOR,24-02-2023,01-03-2023,0
CUBE VAN,2367,VZ,MI,IXTACZOQUITLAN CENTRO,FLAT ROCK,25-02-2023,01-03-2023,0
STRAIGHT TRUCK,1465,TX,OH,LAREDO,COLUMBUS,27-02-2023,01-03-2023,0
STRAIGHT TRUCK,1448,TX,OH,LAREDO,LONDON,25-02-2023,27-02-2023,0
CARGO VAN,513,TN,OH,PULASKI,PAULDING,24-02-2023,24-02-2023,0
TRACTOR,2080,SL,OH,SAN LUIS POTOSÍ,BROOK PARK,25-02-2023,28-02-2023,0
CARGO VAN,425,KY,MS,SHELBYVILLE,BLUE SPRINGS,24-02-2023,24-02-2023,0
SPRINTER,759,MI,MO,BELLEVILLE,CLAYCOMO,24-02-2023,24-02-2023,0
SPRINTER,590,TN,MI,DUNLAP,WAYNE,24-02-2023,24-02-2023,0
STRAIGHT TRUCK,630,TN,ON,MURFREESBORO,BLENHEIM,23-02-2023,24-02-2023,0
CARGO VAN,1239,MI,TX,TROY,ARLINGTON,27-02-2023,01-03-2023,0
CARGO VAN,1718,TX,MI,EL PASO,DETROIT,23-02-2023,25-02-2023,0
STRAIGHT TRUCK,1465,TX,OH,LAREDO,COLUMBUS,25-02-2023,27-02-2023,0
CUBE VAN,1643,TX,MI,LAREDO,STERLING HEIGHTS,23-02-2023,25-02-2023,0
CARGO VAN,1731,TX,MI,EL PASO,DETROIT,23-02-2023,25-02-2023,0
CUBE VAN,1477,IN,TX,GOSHEN,LAREDO,23-02-2023,25-02-2023,0
STRAIGHT TRUCK,262,KY,MS,HOPKINSVILLE,MANTACHIE,23-02-2023,23-02-2023,0
TRACTOR,1620,MI,TX,REDFORD,LAREDO,25-02-2023,27-02-2023,0
TRACTOR,1620,MI,TX,REDFORD,LAREDO,25-02-2023,26-02-2023,0
TRACTOR,1620,MI,TX,REDFORD,LAREDO,25-02-2023,26-02-2023,0
TRACTOR,219,KY,KY,HOPKINSVILLE,GEORGETOWN,23-02-2023,23-02-2023,0
STRAIGHT TRUCK,1612,MI,TX,LIVONIA,LAREDO,23-02-2023,25-02-2023,0
CARGO VAN,1559,TX,OH,LAREDO,TOLEDO,26-02-2023,28-02-2023,0
STRAIGHT TRUCK,185,MI,IN,CLARKLAKE,KOKOMO,23-02-2023,23-02-2023,0
STRAIGHT TRUCK,1657,TX,MI,LAREDO,DETROIT,22-02-2023,24-02-2023,0
SPRINTER,1069,AZ,TX,NOGALES,LAREDO,23-02-2023,24-02-2023,0
SPRINTER,1721,MI,TX,PLYMOUTH,EL PASO,22-02-2023,24-02-2023,0
CARGO VAN,1626,TX,MI,LAREDO,DETROIT,22-02-2023,24-02-2023,0
CARGO VAN,1566,TX,OH,LAREDO,TOLEDO,22-02-2023,24-02-2023,0
STRAIGHT TRUCK,638,TX,JA,LAREDO,TLAJOMULCO CENTRO,22-02-2023,23-02-2023,0
STRAIGHT TRUCK,1358,IL,TX,ELGIN,LAREDO,22-02-2023,24-02-2023,0
CARGO VAN,1649,MI,TX,SHELBY TOWNSHIP,LAREDO,22-02-2023,24-02-2023,0
CARGO VAN,1626,MI,TX,WARREN,LAREDO,22-02-2023,24-02-2023,0
STRAIGHT TRUCK,1693,VA,TX,WINCHESTER,LAREDO,23-02-2023,25-02-2023,0
CARGO VAN,1584,OH,TX,OBERLIN,LAREDO,22-02-2023,24-02-2023,0
CARGO VAN,1642,MI,TX,OAK PARK,LAREDO,22-02-2023,24-02-2023,0
CARGO VAN,1169,MO,TX,SAINT LOUIS,BROWNSVILLE,22-02-2023,23-02-2023,0
CUBE VAN,1792,MI,NX,SHELBY TOWNSHIP,GARCIA,22-02-2023,25-02-2023,0
TRACTOR,1264,TN,TX,CLINTON,LAREDO,22-02-2023,24-02-2023,0
CARGO VAN,1161,TN,TX,DECHERD,LAREDO,27-02-2023,01-03-2023,0
CARGO VAN,1358,TX,IL,LAREDO,BELVIDERE,26-02-2023,27-02-2023,0
STRAIGHT TRUCK,1269,TX,KY,LAREDO,LOUISVILLE,22-02-2023,24-02-2023,0
TRACTOR,1672,QA,MO,SAN JUAN DEL RÍO,WENTZVILLE,22-02-2023,24-02-2023,0
SPRINTER,759,MI,MO,BELLEVILLE,CLAYCOMO,22-02-2023,23-02-2023,0
TRACTOR,1479,TX,KY,EL PASO,LOUISVILLE,22-02-2023,24-02-2023,0
SPRINTER,1729,TX,MI,LOS INDIOS,DETROIT,22-02-2023,24-02-2023,0
TRACTOR,1839,QA,KY,EL MARQUÉS,LOUISVILLE,22-02-2023,25-02-2023,0
STRAIGHT TRUCK,1722,TX,MI,LOS INDIOS,DETROIT,22-02-2023,24-02-2023,0
STRAIGHT TRUCK,160,TX,TX,LAREDO,SAN ANTONIO,22-02-2023,22-02-2023,0
CARGO VAN,505,IL,MO,ELGIN,CLAYCOMO,21-02-2023,22-02-2023,0
TRACTOR,1117,TN,TX,SPRINGFIELD,LAREDO,22-02-2023,23-02-2023,0
SPRINTER,1475,TX,IL,EL PASO,CHICAGO,22-02-2023,24-02-2023,0
CUBE VAN,1456,CU,KY,CENTRO,LOUISVILLE,21-02-2023,25-02-2023,0
SPRINTER,1811,TX,OH,EL PASO,AVON,21-02-2023,24-02-2023,0
TRACTOR,1620,MI,TX,REDFORD,LAREDO,22-02-2023,23-02-2023,0
TRACTOR,1620,MI,TX,REDFORD,LAREDO,22-02-2023,24-02-2023,0
